idencuesta,ola,s10,satis_demo,muestra,m0_sexo,tramo_etario,educ,ponderador01,ponderador02,ponderadorlong_total,ponderadorlong_panel
1101011,1,1,0,1,2,60 o más,Básica,0.987999975681305,0.846000015735626,0.117836983133816,0.103220306703489
1101012,1,1,0,1,2,60 o más,Media,0.987999975681305,0.846000015735626,0.117836983133816,0.103220306703489
1101013,1,1,0,1,2,18 a 29,Media,2.47099995613098,2.1159999370575,0.375834941272482,
1101021,1,1,0,1,1,50 a 59,Universitaria,0.453000009059906,0.535000026226044,0.056201039599222,
1101022,1,0,0,1,1,60 o más,Media,0.453000009059906,0.535000026226044,0.076843466243676,
1101023,1,0,0,1,1,60 o más,Media,0.453000009059906,0.535000026226044,0.076843466243676,0.0927134901030628
1101032,1,1,0,1,2,50 a 59,Media,0.906000018119812,0.776000022888184,0.0790006121859843,0.0568459526608542
1101033,1,0,0,1,2,30 a 39,Técnica,0.906000018119812,0.776000022888184,0.103157623366459,
1101041,1,1,0,1,1,30 a 39,Media,0.935999989509583,1.10599994659424,0.151665099780973,
1101042,1,1,1,1,1,40 a 49,Media,0.467999994754791,0.552999973297119,0.0704790808072564,
1101043,1,0,0,1,2,18 a 29,Media,0.935999989509583,0.801999986171722,0.142399683304351,
1101051,1,,0,1,1,18 a 29,Universitaria,0.680000007152557,0.801999986171722,0.147052948173677,
1101053,1,1,0,1,2,18 a 29,Universitaria,1.35899996757507,1.16400003433228,0.206709217699865,
1101081,1,1,0,1,1,60 o más,Básica,1.81200003623962,2.14000010490417,0.307373864974704,0.370853960412251
1101082,1,0,0,1,2,50 a 59,Media,0.453000009059906,0.388000011444092,0.0395003060929921,
1101083,1,1,0,1,1,40 a 49,Media,2.26500010490418,2.67499995231628,0.341027810357692,
1101102,1,1,0,1,2,60 o más,Técnica,1.35899996757507,1.16400003433228,0.162025851808998,
1101103,1,1,0,1,1,30 a 39,Media,0.906000018119812,1.07000005245209,0.146772677207393,0.226325543825422
1101111,1,1,0,1,2,18 a 29,Media,2.03900003433228,1.74600005149841,0.310063826549798,
1101113,1,1,0,1,1,30 a 39,Media,0.680000007152557,0.801999986171722,0.110079507905545,0.169744157869066
1101132,1,1,0,1,2,18 a 29,Media,1.35899996757507,1.16400003433228,0.206709217699865,
1101133,1,1,1,1,2,60 o más,Media,1.35899996757507,1.16400003433228,0.162025851808997,0.141927921717297
1101151,1,1,0,1,1,18 a 29,Universitaria,1.81200003623962,2.14000010490417,0.392141195129805,0.635904386380186
1101152,1,0,0,1,2,18 a 29,Técnica,0.906000018119812,0.776000022888184,0.137806145133243,0.162242819014302
1101153,1,1,0,1,2,50 a 59,Media,0.453000009059906,0.388000011444092,0.0395003060929921,0.0284229763304271
1101171,1,0,0,1,1,50 a 59,Básica,2.03900003433228,2.40700006484985,0.252904678196499,0.25065617524827
1101173,1,0,0,1,2,18 a 29,Media,1.35899996757507,1.16400003433228,0.206709217699865,0.243364228521453
1107011,1,0,1,1,2,50 a 59,Universitaria,1.35899996757507,1.16400003433228,0.118500918278976,0.0852689289912812
1107012,1,0,0,1,1,50 a 59,Universitaria,1.35899996757507,1.60500001907349,0.168603118797666,0.16710411683218
1107013,1,0,0,1,1,40 a 49,Media,0.906000018119812,1.07000005245209,0.136411124143077,
1107021,1,0,0,1,1,18 a 29,Técnica,3.39800000190735,4.01200008392334,0.735264740868385,1.19232072446285
1107033,1,0,0,1,1,18 a 29,Media,1.35899996757507,1.60500001907349,0.294105896347354,
1107072,1,0,0,1,2,18 a 29,Básica,2.71799993515015,2.32800006866455,0.41341843539973,
1107082,1,0,0,1,2,40 a 49,Media,2.03900003433228,1.74600005149841,0.215719009688646,
1107083,1,0,0,1,2,18 a 29,Técnica,1.35899996757507,1.16400003433228,0.206709217699865,
2101021,1,0,0,1,2,18 a 29,Universitaria,3.49399995803833,3.23900008201599,0.45009401390414,
2101032,1,0,0,1,1,30 a 39,Media,1.74699997901917,1.87600004673004,0.239689976640222,
2101033,1,0,0,1,1,50 a 59,Media,3.49399995803833,3.75200009346008,0.367120805452342,0.363856839679536
2101041,1,0,0,1,2,40 a 49,Media,2.32999992370605,2.16000008583069,0.208760963888393,
2101042,1,,0,1,2,60 o más,Básica,1.16499996185303,1.08000004291534,0.117599764552407,
2101043,1,1,1,1,2,30 a 39,Básica,1.16499996185303,1.08000004291534,0.112309042824681,0.125733391202152
2101052,1,0,0,1,1,50 a 59,Técnica,1.74699997901917,1.87600004673004,0.183560402726171,
2101053,1,0,0,1,2,50 a 59,Media,1.74699997901917,1.62000000476837,0.129013487044767,
2101062,1,0,0,1,1,30 a 39,Media,3.49399995803833,3.75200009346008,0.479379953280444,0.739210667063696
2101071,1,1,0,1,2,60 o más,Básica,1.16499996185303,1.08000004291534,0.117599764552407,0.103012513071323
2101072,1,0,0,1,1,18 a 29,Media,1.74699997901917,1.87600004673004,0.320196904794202,0.519238016287965
2101073,1,1,0,1,1,40 a 49,Media,1.74699997901917,1.87600004673004,0.222768840777631,
2101081,1,1,0,1,1,18 a 29,Básica,1.16499996185303,1.25100004673004,0.213464603196135,
2101082,1,0,0,1,1,40 a 49,Básica,1.74699997901917,1.87600004673004,0.222768840777632,0.321352175730081
2101083,1,0,0,1,1,18 a 29,Media,2.91199994087219,3.12700009346008,0.533661507990337,0.865396693813275
2101092,1,0,0,1,1,50 a 59,Técnica,2.62100005149841,2.81399989128113,0.275340604089256,0.272892629759652
2101093,1,0,0,1,2,30 a 39,Universitaria,2.62100005149841,2.4300000667572,0.252695346355532,
2101102,1,1,0,1,2,60 o más,Media,2.32999992370605,2.16000008583069,0.235199529104814,0.206025026142646
2101104,1,1,0,1,1,50 a 59,Media,2.32999992370605,2.50200009346008,0.244747203634894,
2101111,1,0,0,1,1,40 a 49,Media,1.74699997901917,1.87600004673004,0.222768840777632,
2101112,1,0,0,1,2,18 a 29,Universitaria,2.32999992370605,2.16000008583069,0.300062675936093,
2101113,1,0,0,1,2,18 a 29,Media,1.16499996185303,1.08000004291534,0.150031337968047,0.176635861839744
2101122,1,1,0,1,1,50 a 59,Técnica,1.74699997901917,1.87600004673004,0.183560402726171,
2101123,1,0,0,1,1,40 a 49,Técnica,1.74699997901917,1.62000000476837,0.222768840777632,
2101141,1,0,0,1,2,40 a 49,Universitaria,0.582000017166138,0.540000021457672,0.0521902409720982,0.0546592475257821
2101142,1,0,0,1,2,50 a 59,Universitaria,2.32999992370605,2.16000008583069,0.172017982726356,0.123777852250782
2101143,1,0,0,1,2,30 a 39,Universitaria,2.91199994087219,2.70000004768372,0.280772607061702,0.31433347800538
2101151,1,1,0,1,2,30 a 39,Universitaria,1.74699997901917,1.62000000476837,0.168463564237021,0.188600086803228
2101152,1,0,0,1,2,30 a 39,Universitaria,1.74699997901917,1.62000000476837,0.168463564237021,0.188600086803228
2101162,1,0,0,1,2,60 o más,Universitaria,0.874000012874603,0.810000002384186,0.0881998234143051,0.0772593848034922
2101163,1,1,0,1,1,18 a 29,Técnica,1.74699997901917,1.87600004673004,0.320196904794202,
2101171,1,0,0,1,2,40 a 49,Media,1.16499996185303,1.08000004291534,0.104380481944196,
2101172,1,0,0,1,1,30 a 39,Técnica,1.16499996185303,1.25100004673004,0.159793317760148,0.246403555687899
2101173,1,0,0,1,1,18 a 29,Técnica,1.16499996185303,1.25100004673004,0.213464603196135,0.34615867752531
2101181,1,0,1,1,1,50 a 59,Técnica,1.74699997901917,1.87600004673004,0.183560402726171,
2101182,1,0,0,1,2,18 a 29,Universitaria,1.16499996185303,1.08000004291534,0.150031337968047,
2101183,1,0,0,1,2,30 a 39,Universitaria,1.16499996185303,1.08000004291534,0.112309042824681,
2101191,1,0,0,1,2,50 a 59,Media,0.582000017166138,0.540000021457672,0.043004495681589,0.0309444630626954
2101192,1,0,0,1,1,30 a 39,Básica,2.91199994087219,3.12700009346008,0.39948329440037,0.616008889219746
2101193,1,0,0,1,1,18 a 29,Universitaria,1.74699997901917,1.87600004673004,0.320196904794202,0.519238016287965
2101201,1,1,0,1,2,30 a 39,Técnica,1.16499996185303,1.08000004291534,0.112309042824681,
2101202,1,0,0,1,2,18 a 29,Media,1.16499996185303,1.08000004291534,0.150031337968047,0.176635861839744
