"idencuesta","ola","ponderadorlong_total","ponderadorlong_total_rs","ponderadorlong_panel","ponderadorlong_panel_rs"
1101011,1,422.349959677637,0.102736755550935,839.125911159252,0.0909359043473379
1101012,1,422.349959677637,0.102736755550935,839.125911159252,0.0909359043473379
1101013,1,1322.53092296969,0.321706047386378,NA,NA
1101021,1,208.845769588652,0.0508017966769851,NA,NA
1101022,1,281.96103447191,0.0685871069942548,NA,NA
1101023,1,281.96103447191,0.0685871069942548,745.134635766249,0.0807500889471026
1101032,1,286.761262310578,0.0697547638691991,456.744907496815,0.0494973527415976
1101033,1,372.896032363845,0.0907070727605099,NA,NA
1101041,1,561.259101053969,0.136526446243135,NA,NA
1101042,1,262.566477294976,0.0638693750895896,NA,NA
1101043,1,501.092271925181,0.121890846843061,NA,NA
1101051,1,529.753364881925,0.128862666381453,NA,NA
1101053,1,727.392007633327,0.176938326062508,NA,NA
1101081,1,1127.84413788764,0.274348427977019,2980.538543065,0.32300035578841
1101082,1,143.380631155289,0.0348773819345995,NA,NA
1101083,1,1270.48295465311,0.309045363336724,NA,NA
1101102,1,580.731194556751,0.141263038882535,NA,NA
1101103,1,543.153968761905,0.132122367332066,1880.34845616877,0.203772979806575
1101111,1,1091.08801144999,0.265407489093762,NA,NA
1101113,1,407.365476571429,0.0990917754990494,1410.26134212658,0.152829734854931
1101132,1,727.392007633327,0.176938326062508,NA,NA
1101133,1,580.731194556751,0.141263038882535,1153.79812784397,0.12503686847759
1101151,1,1412.67563968513,0.343633777017208,5049.27088768365,0.547188459276474
1101152,1,484.928005088885,0.117958884041672,1303.08426100641,0.141214976369514
1101153,1,143.380631155289,0.0348773819345995,228.372453748407,0.0247486763707988
1101171,1,939.805963148934,0.228608085046433,1991.05110676633,0.215769803539296
1101173,1,727.392007633327,0.176938326062508,1954.62639150962,0.211822464554271
1107011,1,430.141893465867,0.104632145803799,685.117361245222,0.0742460291123964
1107012,1,626.537308765955,0.152405390030955,1327.36740451089,0.143846535692864
1107013,1,508.193181861245,0.12361814533469,NA,NA
1107021,1,2648.76682440962,0.644313331907265,9467.38291440684,1.02597836114339
1107033,1,1059.50672976385,0.257725332762906,NA,NA
