idencuesta,ola,muestra,responde,estrato_disenno,segmento_disenno,sexo_imp,edad_imp_tramo,edu_imp,civil_imp,ola_num
1101011,2016,Original,Responde,Ciudades Grandes,110101,Mujer,60 0 más,Básica,En Pareja,0
1101011,2017,Original,Responde,Ciudades Grandes,110101,Mujer,60 0 más,Básica,En Pareja,1
1101011,2018,Original,Responde,Ciudades Grandes,110101,Mujer,60 0 más,Básica,En Pareja,2
1101011,2019,Original,Responde,Ciudades Grandes,110101,Mujer,60 0 más,Básica,En Pareja,3
1101011,2021,Original,Responde,Ciudades Grandes,110101,Mujer,60 0 más,Básica,En Pareja,5
1101011,2022,Original,Responde,Ciudades Grandes,110101,Mujer,60 0 más,Básica,En Pareja,6
1101012,2016,Original,Responde,Ciudades Grandes,110101,Mujer,60 0 más,Media,En Pareja,0
1101012,2017,Original,Responde,Ciudades Grandes,110101,Mujer,60 0 más,Media,En Pareja,1
1101012,2018,Original,Responde,Ciudades Grandes,110101,Mujer,60 0 más,Media,En Pareja,2
1101012,2019,Original,Responde,Ciudades Grandes,110101,Mujer,60 0 más,Media,En Pareja,3
1101012,2021,Original,Responde,Ciudades Grandes,110101,Mujer,60 0 más,Media,En Pareja,5
1101012,2022,Original,Responde,Ciudades Grandes,110101,Mujer,60 0 más,Media,En Pareja,6
1101013,2016,Original,Responde,Ciudades Grandes,110101,Mujer,18 a 29,Media,Soltero,0
1101013,2017,Original,Responde,Ciudades Grandes,110101,Mujer,18 a 29,Media,Soltero,1
1101013,2018,Original,Responde,Ciudades Grandes,110101,Mujer,18 a 29,Media,Soltero,2
1101013,2019,Original,Responde,Ciudades Grandes,110101,Mujer,18 a 29,Media,En Pareja,3
1101013,2021,Original,Responde,Ciudades Grandes,110101,Mujer,18 a 29,Media,Soltero,5
1101013,2022,Original,No Responde,Ciudades Grandes,110101,Mujer,18 a 29,Media,Soltero,6
1101021,2016,Original,Responde,Ciudades Grandes,110102,Hombre,45 a 59,Universitaria,En Pareja,0
1101021,2017,Original,Responde,Ciudades Grandes,110102,Hombre,45 a 59,Universitaria,En Pareja,1
1101021,2018,Original,Responde,Ciudades Grandes,110102,Hombre,45 a 59,Técnica,En Pareja,2
1101021,2019,Original,Responde,Ciudades Grandes,110102,Hombre,45 a 59,Universitaria,En Pareja,3
1101021,2021,Original,Responde,Ciudades Grandes,110102,Hombre,45 a 59,Universitaria,En Pareja,5
1101021,2022,Original,No Responde,Ciudades Grandes,110102,Hombre,45 a 59,Universitaria,En Pareja,6
1101022,2016,Original,Responde,Ciudades Grandes,110102,Hombre,60 0 más,Media,En Pareja,0
1101022,2017,Original,Responde,Ciudades Grandes,110102,Hombre,60 0 más,Técnica,En Pareja,1
1101022,2018,Original,No Responde,Ciudades Grandes,110102,Hombre,60 0 más,Técnica,En Pareja,2
1101022,2019,Original,No Responde,Ciudades Grandes,110102,Hombre,60 0 más,Técnica,En Pareja,3
1101022,2021,Original,No Responde,Ciudades Grandes,110102,Hombre,60 0 más,Técnica,En Pareja,5
1101022,2022,Original,No Responde,Ciudades Grandes,110102,Hombre,60 0 más,Técnica,En Pareja,6
1101023,2016,Original,Responde,Ciudades Grandes,110102,Hombre,60 0 más,Media,Soltero,0
1101023,2017,Original,Responde,Ciudades Grandes,110102,Hombre,60 0 más,Media,Soltero,1
1101023,2018,Original,Responde,Ciudades Grandes,110102,Hombre,60 0 más,Media,Soltero,2
1101023,2019,Original,Responde,Ciudades Grandes,110102,Hombre,60 0 más,Media,En Pareja,3
1101023,2021,Original,Responde,Ciudades Grandes,110102,Hombre,60 0 más,Media,En Pareja,5
1101023,2022,Original,Responde,Ciudades Grandes,110102,Hombre,60 0 más,Media,En Pareja,6
1101032,2016,Original,Responde,Ciudades Grandes,110103,Mujer,45 a 59,Media,En Pareja,0
1101032,2017,Original,Responde,Ciudades Grandes,110103,Mujer,45 a 59,Media,En Pareja,1
1101032,2018,Original,Responde,Ciudades Grandes,110103,Mujer,45 a 59,Media,En Pareja,2
1101032,2019,Original,Responde,Ciudades Grandes,110103,Mujer,45 a 59,Media,En Pareja,3
1101032,2021,Original,Responde,Ciudades Grandes,110103,Mujer,45 a 59,Media,En Pareja,5
1101032,2022,Original,Responde,Ciudades Grandes,110103,Mujer,45 a 59,Media,En Pareja,6
1101033,2016,Original,Responde,Ciudades Grandes,110103,Mujer,30 a 44,Técnica,En Pareja,0
1101033,2017,Original,Responde,Ciudades Grandes,110103,Mujer,30 a 44,Técnica,En Pareja,1
1101033,2018,Original,Responde,Ciudades Grandes,110103,Mujer,30 a 44,Media,Soltero,2
1101033,2019,Original,Responde,Ciudades Grandes,110103,Mujer,30 a 44,Universitaria,Soltero,3
1101033,2021,Original,Responde,Ciudades Grandes,110103,Mujer,30 a 44,Media,Soltero,5
1101033,2022,Original,No Responde,Ciudades Grandes,110103,Mujer,30 a 44,Media,Soltero,6
1101041,2016,Original,Responde,Ciudades Grandes,110104,Hombre,30 a 44,Media,En Pareja,0
1101041,2017,Original,Responde,Ciudades Grandes,110104,Hombre,30 a 44,Técnica,En Pareja,1
1101041,2018,Original,Responde,Ciudades Grandes,110104,Hombre,30 a 44,Técnica,En Pareja,2
1101041,2019,Original,Responde,Ciudades Grandes,110104,Hombre,30 a 44,Universitaria,En Pareja,3
1101041,2021,Original,No Responde,Ciudades Grandes,110104,Hombre,30 a 44,Universitaria,En Pareja,5
1101041,2022,Original,Responde,Ciudades Grandes,110104,Hombre,30 a 44,Universitaria,En Pareja,6
1101042,2016,Original,Responde,Ciudades Grandes,110104,Hombre,45 a 59,Media,Soltero,0
1101042,2017,Original,Responde,Ciudades Grandes,110104,Hombre,45 a 59,Media,Soltero,1
1101042,2018,Original,No Responde,Ciudades Grandes,110104,Hombre,45 a 59,Media,Soltero,2
1101042,2019,Original,No Responde,Ciudades Grandes,110104,Hombre,45 a 59,Media,Soltero,3
1101042,2021,Original,No Responde,Ciudades Grandes,110104,Hombre,45 a 59,Media,Soltero,5
1101042,2022,Original,No Responde,Ciudades Grandes,110104,Hombre,45 a 59,Media,Soltero,6
1101043,2016,Original,Responde,Ciudades Grandes,110104,Mujer,18 a 29,Media,En Pareja,0
1101043,2017,Original,Responde,Ciudades Grandes,110104,Mujer,18 a 29,Media,En Pareja,1
1101043,2018,Original,No Responde,Ciudades Grandes,110104,Mujer,18 a 29,Media,En Pareja,2
1101043,2019,Original,No Responde,Ciudades Grandes,110104,Mujer,18 a 29,Media,En Pareja,3
