idencuesta,ola,ola_num,muestra,estrato_disenno,segmento_disenno,ponderador02,m0_sexo,m02,m01,m36,m0_edad,n_visitas_entr,responde,m02_fac,m01_fac,m36_fac
1101011,2016,0,1,Ciudades Grandes,110101,0.846000015735626,2,5,2,1,64,2,1,Jubilado,Básica,En Pareja
1101011,2017,1,1,Ciudades Grandes,110101,0.715155303478241,2,5,2,,65,2,1,Jubilado,Básica,
1101011,2018,2,1,Ciudades Grandes,110101,0.959133684635162,2,1,3,1,66,2,1,Trabajo Remunerado,Básica,En Pareja
1101011,2019,3,1,Ciudades Grandes,110101,1.29190361499786,2,5,2,1,68,3,1,Jubilado,Básica,En Pareja
1101011,2021,5,1,Ciudades Grandes,110101,0.969473958015442,2,5,2,1,69,4,1,Jubilado,Básica,En Pareja
1101011,2022,6,1,Ciudades Grandes,110101,1.93451070785522,2,5,2,1,70,,1,Jubilado,Básica,En Pareja
1101012,2016,0,1,Ciudades Grandes,110101,0.846000015735626,2,5,4,1,60,2,1,Jubilado,Media,En Pareja
1101012,2017,1,1,Ciudades Grandes,110101,0.715155303478241,2,7,4,,62,2,1,Trabajo Doméstico No Remunerado,Media,
1101012,2018,2,1,Ciudades Grandes,110101,0.959133684635162,2,5,5,1,62,1,1,Jubilado,Media,En Pareja
1101012,2019,3,1,Ciudades Grandes,110101,0.968927681446075,2,2,5,1,64,3,1,Trabajo Remunerado,Media,En Pareja
1101012,2021,5,1,Ciudades Grandes,110101,0.484736979007721,2,5,4,1,65,10,1,Jubilado,Media,En Pareja
1101012,2022,6,1,Ciudades Grandes,110101,0.967255353927612,2,5,5,1,67,,1,Jubilado,Media,En Pareja
1101013,2016,0,1,Ciudades Grandes,110101,2.1159999370575,2,5,4,4,26,4,1,Jubilado,Media,Soltero
1101013,2017,1,1,Ciudades Grandes,110101,1.78788828849792,2,9,4,,27,2,1,Otras Categorías,Media,
1101013,2018,2,1,Ciudades Grandes,110101,2.39783406257629,2,4,4,4,28,1,1,Otras Categorías,Media,Soltero
1101013,2019,3,1,Ciudades Grandes,110101,0.968927681446075,2,2,5,2,30,4,1,Trabajo Remunerado,Media,En Pareja
