Area,Sexo,Edad,a2002,a2003,a2004,a2005,a2006,a2007,a2008,a2009,a2010,a2011,a2012,a2013,a2014,a2015,a2016,a2017,a2018,a2019,a2020,a2021,a2022,a2023,a2024,a2025,a2026,a2027,a2028,a2029,a2030,a2031,a2032,a2033,a2034,a2035
1,1,0,109693,107528,105925,104462,104744,107130,110614,113676,114599,114151,112560,111074,111882,114025,111845,106402,104467,105731,108174,109630,109914,109648,109139,108457,107627,106676,105623,104500,103319,102910,101943,100971,100010,99091
1,1,1,110870,109368,107293,105708,104284,104584,106989,110461,113525,114530,114134,112385,110949,111789,114020,112152,107164,105215,106430,108342,109522,109746,109468,108952,108271,107442,106488,105437,104308,103132,102724,101758,100786,99826
1,1,2,111766,110645,109212,107142,105582,104169,104479,106867,110322,113456,114499,113952,112243,110837,111775,114355,112854,108071,106067,106627,108197,109299,109506,109218,108702,108024,107190,106239,105185,104061,102882,102473,101511,100541
1,1,3,114185,112051,110951,109475,107375,105779,104342,104603,106946,110433,113563,114422,113877,112157,110814,112075,114953,113775,108939,106237,106433,107917,109003,109199,108914,108398,107714,106887,105933,104886,103761,102587,102177,101216
1,1,4,115946,114431,112311,111188,109699,107574,105969,104490,104720,107105,110611,113576,114445,113903,112257,111241,112823,116036,114795,109272,106208,106325,107793,108871,109065,108777,108261,107572,106744,105788,104739,103618,102438,102028
1,1,5,117668,115746,114286,112185,111092,109629,107533,105930,104462,104773,107204,110601,113623,114536,114101,112813,112128,114035,117189,115274,109399,106254,106350,107807,108878,109072,108780,108262,107573,106741,105781,104735,103609,102430
1,1,6,119942,117837,115963,114525,112460,111392,109956,107856,106270,104883,105251,107588,111054,114141,115168,115092,114095,113717,115564,118074,115811,109837,106657,106742,108198,109265,109457,109159,108631,107938,107100,106140,105085,103953
1,1,7,122283,120300,118189,116282,114832,112736,111653,110171,108033,106480,105098,105318,107669,111136,114277,115587,115774,115065,114632,115860,118041,115713,109721,106540,106623,108076,109140,109330,109027,108499,107807,106968,106006,104953
1,1,8,124044,122215,120253,118143,116252,114804,112723,111621,110142,108064,106551,105054,105309,107682,111233,114669,116269,116718,115957,114935,115847,117963,115616,109627,106448,106525,107973,109040,109224,108918,108388,107693,106858,105895
1,1,9,125683,124166,122331,120347,118230,116321,114864,112748,111626,110182,108119,106469,104987,105249,107677,111482,115195,117013,117413,116100,114786,115640,117731,115380,109400,106224,106301,107746,108805,108989,108683,108155,107459,106620
1,1,10,129215,126074,124521,122644,120630,118475,116537,115027,112869,111762,110315,108105,106449,104956,105252,107914,112000,115908,117675,117548,115959,114589,115424,117509,115152,109182,106010,106087,107528,108584,108762,108458,107927,107234
1,1,11,133013,129925,126740,125147,123237,121181,118994,117005,115456,113312,112205,110609,108388,106723,105271,105796,108763,113028,116889,118158,117766,116119,114731,115557,117635,115281,109297,106121,106190,107624,108678,108855,108551,108018
1,1,12,131410,133774,130619,127360,125715,123743,121635,119371,117323,115770,113606,112336,110715,108461,106816,105568,106394,109553,113767,117141,118152,117705,116040,114646,115468,117541,115183,109201,106021,106088,107523,108573,108754,108444
1,1,13,129261,131438,133805,130648,127401,125748,123784,121660,119392,117398,115879,113592,112350,110750,108562,107164,106246,107269,110381,114114,117230,118189,117727,116058,114660,115474,117543,115182,109195,106012,106080,107513,108564,108741
1,1,14,123128,130012,132206,134578,131424,128163,126514,124518,122386,120167,118199,116542,114270,113044,111498,109539,108443,107721,108697,111342,114838,117917,118856,118382,116692,115280,116095,118168,115787,109772,106567,106630,108054,109100
1,1,15,119059,124184,131071,133212,135554,132322,128993,127259,125194,123058,120815,118627,116944,114639,113423,112071,110424,109485,108714,109223,111626,115072,118142,119065,118590,116894,115474,116289,118360,115970,109945,106733,106787,108214
1,1,16,115420,118805,123997,130940,133176,135599,132465,129202,127545,125627,123606,121269,119181,117591,115421,114538,113635,112044,111047,109772,110021,112371,115818,118895,119813,119328,117612,116181,116991,119063,116661,110604,107369,107415
1,1,17,114505,116065,119456,124647,131613,133840,136269,133091,129807,128205,126313,124102,121790,119719,118206,116360,116042,115095,113437,111817,110222,110393,112724,116155,119230,120138,119651,117923,116478,117282,119356,116951,110891,107643
1,1,18,114835,115008,116591,119983,125206,132192,134446,136862,133691,130498,128954,126903,124757,122487,120551,119532,118527,118070,117037,114519,112448,110747,110888,113210,116635,119703,120613,120116,118385,116928,117728,119796,117388,111312
1,1,19,115398,115500,115721,117313,120742,125994,133030,135278,137703,134642,131508,129787,127818,125731,123643,122383,122472,121284,120707,118508,115365,113148,111403,111537,113846,117274,120342,121247,120741,118996,117530,118328,120397,117977
1,1,20,115490,116481,116616,116824,118445,121893,127195,134222,136453,139003,135971,132579,130927,128995,127103,125832,125899,125824,124493,122450,119478,116150,113878,112114,112240,114551,117982,121060,121954,121434,119682,118200,118997,121068
1,1,21,113524,115798,116862,117007,117266,118918,122410,127692,134720,137102,139736,136457,133176,131608,129945,129055,129318,129233,128999,125952,123023,119854,116471,114190,112413,112532,114840,118269,121340,122224,121709,119946,118464,119252
1,1,22,112057,114238,116589,117648,117840,118116,119802,123268,128553,135753,138215,140598,137422,134207,132924,132401,133145,133328,133068,130865,126796,123638,120408,116999,114700,112917,113030,115335,118771,121842,122726,122202,120435,118941
1,1,23,111002,112051,114320,116690,117814,118042,118374,120040,123508,128955,136241,138497,141034,137972,135124,135178,136344,137138,137123,134647,131306,126989,123774,120527,117118,114821,113031,113143,115445,118866,121933,122815,122288,120517
1,1,24,110879,110910,112059,114365,116818,117994,118299,118633,120320,123967,129530,136676,139122,141807,139176,137844,139539,140970,141538,139054,135298,131667,127289,124053,120799,117382,115080,113287,113395,115697,119117,122184,123061,122534
1,1,25,111450,110901,111022,112197,114567,117062,118297,118580,118921,120780,124527,129961,137295,139885,143020,142031,142223,144349,145537,143460,139603,135549,131858,127462,124221,120964,117544,115244,113449,113555,115846,119269,122334,123206
1,1,26,112012,111973,111496,111623,112855,115253,117790,118986,119252,119743,121681,125312,130934,138422,141472,146347,146732,147467,149341,147781,144280,140105,135980,132266,127857,124610,121345,117918,115616,113810,113914,116210,119635,122706
