"idencuesta","ola","muestra","segmento_disenno","estrato_disenno","m0_sexo","tramo_etario","tipo_atricion","pd_diseno","pd_nr","pd_atricion","pd_modelob","pd_atricion_trm","pd_nr_trm","pd_modelob_trm","ponderadorlong_total","ponderadorlong_modelob","ponderadorlong_nr","ponderadorlong_panel"
1101011,1,1,110101,4,"Mujer","60 o más",1,321.075913776945,321.075913776945,321.075913776945,321.075913776945,321.075913776945,321.075913776945,321.075913776945,0.117836983133816,0.117767540565446,0.11626286470529,0.103220306703489
1101012,1,1,110101,4,"Mujer","60 o más",1,321.075913776945,321.075913776945,321.075913776945,321.075913776945,321.075913776945,321.075913776945,321.075913776945,0.117836983133816,0.117767540565446,0.11626286470529,0.103220306703489
1101013,1,1,110101,4,"Mujer","18 a 29",2,802.689784442362,802.689784442362,802.689784442362,802.689784442362,802.689784442362,802.689784442362,802.689784442362,0.375834941272482,0.375549077149586,0.369568471941618,NA
1101021,1,1,110102,4,"Hombre","50 a 59",2,147.159793814433,147.159793814433,147.159793814433,147.159793814433,147.159793814433,147.159793814433,147.159793814433,0.056201039599222,0.0561761053391943,0.0556495516336699,NA
1101022,1,1,110102,4,"Hombre","60 o más",2,147.159793814433,147.159793814433,147.159793814433,147.159793814433,147.159793814433,147.159793814433,147.159793814433,0.076843466243676,0.0768090697359237,0.0760458487518492,NA
1101023,1,1,110102,4,"Hombre","60 o más",1,147.159793814433,147.159793814433,147.159793814433,147.159793814433,147.159793814433,147.159793814433,147.159793814433,0.076843466243676,0.0768090697359237,0.0760458487518492,0.0927134901030628
1101032,1,1,110103,4,"Mujer","50 a 59",1,294.319587628866,294.319587628866,294.319587628866,294.319587628866,294.319587628866,294.319587628866,294.319587628866,0.0790006121859843,0.0789543687765494,0.0779899455236195,0.0568459526608542
1101033,1,1,110103,4,"Mujer","30 a 39",2,294.319587628866,294.319587628866,294.319587628866,294.319587628866,294.319587628866,294.319587628866,294.319587628866,0.103157623366459,0.10309227704236,0.101719754968154,NA
1101041,1,1,110104,4,"Hombre","30 a 39",2,304.130240549828,304.130240549828,304.130240549828,304.130240549828,304.130240549828,304.130240549828,304.130240549828,0.151665099780973,0.15159051474112,0.15000260205854,NA
1101042,1,1,110104,4,"Hombre","40 a 49",2,152.065120274914,152.065120274914,152.065120274914,152.065120274914,152.065120274914,152.065120274914,152.065120274914,0.0704790808072564,0.0704497611945794,0.0698267555278634,NA
1101043,1,1,110104,4,"Mujer","18 a 29",2,304.130240549828,304.130240549828,304.130240549828,304.130240549828,304.130240549828,304.130240549828,304.130240549828,0.142399683304351,0.142291372564454,0.140025387702324,NA
1101051,1,1,110105,4,"Hombre","18 a 29",2,147.159793814433,220.739690721649,220.739690721649,220.739690721649,220.739690721649,220.739690721649,220.739690721649,0.147052948173677,0.146961930855714,0.145037617257915,NA
1101053,1,1,110105,4,"Mujer","18 a 29",2,294.319587628866,441.479381443299,441.479381443299,441.479381443299,441.479381443299,441.479381443299,441.479381443299,0.206709217699865,0.206551992432272,0.20326265956789,NA
