idencuesta,ola,ponderadorlong_total,ponderadorlong_panel
1101011,1,0.11787983771296402,0.10325794977963305
1101012,1,0.11787983771296402,0.10325794977963305
1101013,1,0.3760102985394259,NA
1101021,1,0.056216335701336745,NA
1101022,1,0.07686465580908068,NA
1101023,1,0.07686465580908068,0.0927437677418844
1101032,1,0.07902905986168295,0.05686994531196848
1101033,1,0.1031979217898599,NA
1101041,1,0.15171101177242408,NA
1101042,1,0.07049714972524213,NA
1101043,1,0.14246612422438248,NA
1101051,1,0.14710862894948207,NA
1101053,1,0.2068056641966842,NA
1101081,1,0.3074586232363227,0.3709750709675376
1101082,1,0.03951452993084147,NA
1101083,1,0.3411152406060102,NA
1101102,1,0.1620847768553256,NA
1101103,1,0.146817108166862,0.22638897583307305
1101111,1,0.31020849629502634,NA
1101113,1,0.1101128311251465,0.16979173187480473
1101132,1,0.2068056641966842,NA
1101133,1,0.16208477685532552,0.14197968094699542
1101151,1,0.3922896771986187,0.6361585118838156
1101152,1,0.13787044279778948,0.1623138401427935
1101153,1,0.03951452993084147,0.02843497265598424
1101171,1,0.25297351065601537,0.25075241407228127
1101173,1,0.2068056641966842,0.24347076021419015
1107011,1,0.1185435897925244,0.08530491796795268
1107012,1,0.1686490071040102,0.1671682760481875
1107013,1,0.1364460962424041,NA
1107021,1,0.73554314474741,1.192797209782154
1107033,1,0.2942172578989641,NA
1107072,1,0.4136113283933684,NA
1107082,1,0.21579328134730566,NA
1107083,1,0.2068056641966842,NA
2101021,1,0.4503040190087175,NA
2101032,1,0.23976253548318763,NA
2101033,1,0.3672207238411954,0.3639965416211482
2101041,1,0.20883283990466822,NA
2101042,1,0.11764253286065539,NA
2101043,1,0.11235291624102986,0.12577342241976788
2101052,1,0.18361036192059776,NA
2101053,1,0.1290599440751449,NA
2101062,1,0.4795250709663753,0.7394178448125994
2101071,1,0.11764253286065539,0.10305008036788675
2101072,1,0.3203181455601352,0.5194455185873968
2101073,1,0.22282595264497823,NA
2101081,1,0.2135454303734235,NA
2101082,1,0.22282595264497831,0.3214368179957648
2101083,1,0.5338635759335586,0.8657425309789947
2101092,1,0.27541554288089654,0.2729974062158612
2101093,1,0.25279406154231726,NA
2101102,1,0.23528506572131086,0.20610016073577353
2101104,1,0.24481381589413023,NA
2101111,1,0.22282595264497831,NA
2101112,1,0.30020267933914513,NA
2101113,1,0.15010133966957256,0.1767131834636914
2101122,1,0.18361036192059776,NA
2101123,1,0.22282595264497831,NA
2101141,1,0.05220820997616707,0.05467572763447931
2101142,1,0.17207992543352651,0.12383009447183208
2101143,1,0.28088229060257464,0.31443355604941975
2101151,1,0.16852937436154483,0.18866013362965187
2101152,1,0.16852937436154483,0.18866013362965187
2101162,1,0.08823189964549155,0.07728756027591505
2101163,1,0.3203181455601353,NA
2101171,1,0.10441641995233414,NA
2101172,1,0.15984169032212509,0.2464726149375331
2101173,1,0.2135454303734235,0.346297012391598
2101181,1,0.18361036192059776,NA
2101182,1,0.15010133966957256,NA
2101183,1,0.1123529162410299,NA
2101191,1,0.04301998135838163,0.030957523617958
2101192,1,0.39960422580531263,0.6161815373438325
2101193,1,0.3203181455601352,0.5194455185873968
2101201,1,0.1123529162410299,NA
2101202,1,0.15010133966957256,0.1767131834636914
2101203,1,0.24481381589413023,NA
2101211,1,0.427090860746847,0.6925940247831959
2101212,1,0.23976253548318766,0.3697089224062997
2101213,1,0.37525334917393144,NA
2101221,1,0.3203181455601353,NA
2101222,1,0.10677271518671175,0.173148506195799
2101223,1,0.1685293743615449,NA
2101231,1,0.15010133966957256,0.1767131834636914
2101232,1,0.15984169032212509,0.2464726149375331
2101233,1,0.05220820997616707,NA
2101241,1,0.10441641995233414,NA
2101242,1,0.16852937436154483,NA
2101243,1,0.25105064383753295,0.30291402932123773
2101251,1,0.17402736658722356,0.18225242544826434
2101254,1,0.08701368329361178,NA
2101255,1,0.10200575662255428,0.10111015045031897
2101263,1,0.14339993786127217,0.10319174539319337
2101264,1,0.1779545253111863,NA
2101265,1,0.07169996893063608,NA
3101013,1,0.24784933020778002,NA
3101021,1,0.08095366013624448,NA
3101023,1,0.12143049020436672,0.12716966185904643
3101033,1,0.34911902294158104,0.4110152120397527
3101041,1,0.06670646152288713,0.04800250471663316
3101042,1,0.05518699134992304,NA
3101043,1,0.07758200509812914,0.0913367137866117
3101051,1,0.06080521069461405,NA
3101052,1,0.27593495674961516,NA
3101053,1,0.12392466510389005,NA
3101061,1,0.04047683006812225,0.04238988728634883
3101062,1,0.06670646152288712,0.04800250471663316
3101072,1,0.1824156320838421,NA
3101082,1,0.24784933020778013,NA
3101093,1,0.33112194809953827,0.5369655588679201
3101101,1,0.06670646152288712,NA
3101102,1,0.03335323076144356,0.02400125235831658
3101111,1,0.057585376093756926,0.0830695878776657
3101113,1,0.12392466510389001,NA
3101121,1,0.11517075218751385,NA
3101122,1,0.16556097404976905,NA
3101131,1,0.0865060559440177,0.10437693991196703
3101132,1,0.0809536601362445,0.08477977457269766
3101133,1,0.05807119736432447,NA
3101141,1,0.05807119736432447,NA
3101142,1,0.09490161823972548,NA
3101143,1,0.08095366013624448,0.08477977457269764
3101151,1,0.06080521069461405,NA
3101152,1,0.10793821351499262,0.11303969943026351
3101153,1,0.0809536601362445,0.08477977457269766
3101171,1,0.026984553378748156,0.028259924857565878
3101172,1,0.08261644340259335,NA
3101173,1,0.07678050145834257,NA
3101181,1,0.0809536601362445,NA
3101182,1,0.19395501274532284,NA
3101183,1,0.11037398269984608,0.17898851962264
3101191,1,0.17455951147079052,0.20550760601987636
3101192,1,0.10005969228433069,0.07200375707494976
3101201,1,0.03839025072917127,NA
3101202,1,0.04325302797200884,0.0521884699559835
3101203,1,0.05396910675749631,0.056519849715131756
3101211,1,0.07758200509812913,0.09133671378661168
3101212,1,0.03839025072917127,NA
3101213,1,0.029035598682162236,NA
3101221,1,0.1423524273595883,NA
3101222,1,0.2483414610746536,0.40272416915093995
3101231,1,0.058071197364324485,0.06500777621878616
3101232,1,0.058071197364324485,0.06500777621878616
3101233,1,0.09490161823972555,0.09406838609808164
3101241,1,0.08261644340259335,NA
3101242,1,0.1655609740497691,NA
3101243,1,0.044470974348591416,0.03200166981108878
3103013,1,0.6643113276780787,NA
3103021,1,0.026984553378748156,NA
3103022,1,0.04325302797200885,NA
3103023,1,0.06670646152288712,NA
3301011,1,0.017061427002770132,0.024611903331454438
3301012,1,0.019356037196483305,NA
3301013,1,0.014058751907824869,NA
3301021,1,0.03678937255691417,0.05965966952297926
3301023,1,0.014416909867284187,NA
3301031,1,0.007411435209910133,0.0053333282188662914
3301032,1,0.010133663273387243,NA
3301041,1,0.007411435209910136,0.0053333282188662914
3301043,1,0.007411435209910136,0.0053333282188662914
3301051,1,0.012904024797655532,0.01444540485543709
3301052,1,0.006452012398827766,NA
3301053,1,0.012904024797655532,NA
3301062,1,0.01798874631954524,0.018838948791812343
3301063,1,0.027537351115893546,NA
3301073,1,0.009881913613213516,0.007111104291821724
3301074,1,0.009881913613213516,NA
3301081,1,0.012929647093687182,NA
3301083,1,0.07208454933642086,NA
3301091,1,0.010133663273387248,NA
3301093,1,0.014822870419820278,0.010666656437732588
3301101,1,0.028833819734568365,NA
3301102,1,0.014058751907824869,NA
3301103,1,0.03597749263909049,0.0376778975836247
3301111,1,0.044971865798863093,0.04709737197953086
3301113,1,0.020267326546774496,NA
3301121,1,0.022748569337026837,NA
3301122,1,0.00937250127188325,0.009290211112324486
3301123,1,0.02702310206236598,NA
3301131,1,0.03678937255691417,NA
3301141,1,0.01976382722642703,NA
3301142,1,0.00853071350138507,NA
3301143,1,0.009881913613213516,0.007111104291821724
3301151,1,0.019356037196483305,NA
3301152,1,0.00917911703863118,NA
3301153,1,0.014058751907824869,NA
3301161,1,0.009881913613213516,NA
3301162,1,0.01922254648971224,NA
3301163,1,0.06131562092819029,NA
3301171,1,0.06727891271399283,NA
3301172,1,0.006755775515591495,NA
3301173,1,0.009881913613213516,0.007111104291821724
3301183,1,0.014822870419820278,NA
3301191,1,0.014822870419820272,0.010666656437732585
3301192,1,0.034479058916499133,NA
3301193,1,0.011992497546363492,NA
3301201,1,0.00961127324485612,NA
3301202,1,0.021088127861737308,0.02090297500273011
3301203,1,0.006755775515591497,NA
3301211,1,0.049052496742552215,NA
3301212,1,0.008619764729124783,0.010147984483981668
3301213,1,0.011992497546363492,NA
3301221,1,0.01798874631954524,0.018838948791812343
3301223,1,0.00899437315977262,NA
3301231,1,0.024526248371276115,NA
3301232,1,0.013511551031182994,0.011835569889569046
3301233,1,0.025592140504155206,0.03691785499718168
3301241,1,0.029645740839640555,0.021333312875465176
3301243,1,0.03597749263909049,NA
3301251,1,0.01351155103118299,NA
3301252,1,0.006755775515591495,0.005917784944784523
3301253,1,0.014058751907824869,0.013935316668486731
4101021,1,0.16957519989738687,0.1775898359163127
4101023,1,0.25958739631835714,NA
4101031,1,0.13590443320616724,NA
4101032,1,0.13590443320616724,0.16398029830085015
4101033,1,0.19105477888810343,NA
4101034,1,0.09552738944405172,0.08367811301040273
4101041,1,0.10947857572204252,NA
4101042,1,0.10174511993843212,0.10655390154978761
4101044,1,0.10174511993843212,0.10655390154978761
4101045,1,0.41616453495659983,NA
4101053,1,0.14626127590441879,0.17219230514150108
4101054,1,0.16308531984740077,NA
4101055,1,0.10947857572204252,0.12255574319640626
4101057,1,0.11463286733286206,0.10041373561248329
4101062,1,0.2718088664123345,NA
4101065,1,0.16957519989738684,0.17758983591631264
4101071,1,0.4825008107517568,NA
4101083,1,0.9650016215035137,NA
4101111,1,0.596376773693837,0.5911406111753397
4101113,1,0.2718088664123345,0.3279605966017003
4101131,1,0.1824642928700709,NA
4101133,1,0.25958739631835714,NA
4101134,1,0.4875375863480626,0.5739743504716702
4101135,1,0.3618756080638177,NA
4101141,1,0.6104707196305927,0.6393234092987259
4101143,1,1.3046825587792061,NA
4102013,1,1.387215116521999,NA
4102033,1,0.5589252680189287,NA
4102051,1,0.09552738944405172,0.08367811301040273
4102052,1,0.4191939510141968,0.3016553292043388
4102053,1,0.09552738944405172,NA
4102055,1,0.08478759994869342,0.08879491795815632
4102065,1,0.623009751164057,NA
4102073,1,0.38210955777620687,NA
4102081,1,0.25473970518413785,NA
4102082,1,0.5191747926367142,0.8005569041026968
4102083,1,0.5094794103682757,0.4462832693888145
4102091,1,2.0808226747829988,3.3743764703088
4102102,1,0.7787621889550714,1.2008353561540452
4102103,1,0.5191747926367142,NA
4102112,1,2.3160038916084322,NA
4102121,1,0.1987922578979457,0.19704687039177987
4102122,1,1.0947857572204258,NA
4106011,1,0.023400767565668622,0.02049812189243403
4106014,1,0.016232312875561174,NA
4106022,1,0.015600511710445759,0.013665414594956014
4106023,1,0.009932705702605144,0.011119163007971632
4106025,1,0.01846213884971529,0.019334715282477134
4106032,1,0.03575774052937851,0.04002898682869786
4106041,1,0.022740224099314563,NA
4106042,1,0.022740224099314563,NA
4106053,1,0.015600511710445759,NA
4106062,1,0.007981441888477292,0.00574350959637864
4106063,1,0.027848108765437026,0.032785369965495914
4106065,1,0.016232312875561174,0.01608979386406263
4106071,1,0.0194787754506734,0.01930775263687515
4106083,1,0.031201023420891517,0.027330829189912028
4106094,1,0.07990005139535163,0.09640623159207178
4106101,1,0.03391443011029185,NA
4106102,1,0.011077283309829176,NA
4106103,1,0.016615924964743765,0.017401243754229422
4106111,1,0.007606474819891109,0.005473680286481659
4106112,1,0.0050056927975395,0.005603620589410295
4106113,1,0.005241362655523437,0.00459122079196214
4204011,1,0.0050056927975395,0.005603620589410295
4204012,1,0.010590664956183915,NA
4204013,1,0.005453631271708305,NA
4204021,1,0.0074567558589474225,0.008997212388589856
4204023,1,0.0057007681546624965,0.004102318485874542
4204031,1,0.007794666382801632,0.006827811146670837
4204032,1,0.00811034059873409,NA
4204042,1,0.014917944699325673,NA
4204043,1,0.016633916036294213,NA
4204051,1,0.009514152890117453,NA
